,changes
0,762370063873822982
1,2013845107719879822
2,-6845893734383208364
3,2354241747147181138
4,-5921696810744496784
5,-5637045100057961814
6,-7072470365386866477
7,678907345253714712
8,6485002724220797275
9,1231590037910604010
10,-8626457832150297401
11,-6532235692255975769
12,1309428287814460503
13,-2361689441167315675
14,1859600636541544962
15,4392746290174839510
16,8612208252073780035
17,-4573193132854164117
18,-2046056796435610876
19,-1560880583632011625
20,-9087347948894523908
21,5779330553623749495
22,1202233618030231494
23,681885582466137227
