changes,src/danger,src/observation,src/irrigation,src/user-settings,src/admin,src/recommendation,src/plotList,src/farmer,src/plot,src/alert,src/export,src/weather
-627021859017425111,,,,,,,,x,,,,
-8222405086306561967,,,,,,,,,,,,x
136945070071018938,,,,,,,,x,,,,
700750631907213831,,,,,,,,,x,,,
-5069248732778814190,,,,,,,,x,,,,
1854896624586258969,,,,,,,,,x,,,
7689901058836938523,,,,,,,x,,x,,,
144053594444478713,,,,,,,,,x,,,
-4569291666917261392,,,,,,,x,,x,,,
8390752295204516009,,,,,,,,,x,,,
-2458996322957710594,,,,,,,,,,,x,
-7813679410038066734,,x,,,,,,,,,,
357900429798972998,x,,,,,,,,,,,
7776542328363973238,,,,,,,,,,x,,
-3430614754558326760,,,x,,,,,,,,,
771232817715020666,,,,,,x,,,,,,
-7465743248741666433,,,x,,,,,,,,,
3538781116836360140,,,,x,,,,,,,,
-8661335648691938626,,,x,,,,,,,,,
6547519499873150249,,,,,,x,,,,,,
2071844838248729462,,,,,,,,x,,,,
8513064553778618291,,,,,x,,,,,,,
-4419334132910152518,,,,,,,,,,,,x
-5984217083125106868,,,,,x,,,,,,,
