mrs,-627021859017425111,-8222405086306561967,136945070071018938,700750631907213831,-5069248732778814190,1854896624586258969,7689901058836938523,144053594444478713,-4569291666917261392,8390752295204516009,-2458996322957710594,-7813679410038066734,357900429798972998,7776542328363973238,-3430614754558326760,771232817715020666,-7465743248741666433,3538781116836360140,-8661335648691938626,6547519499873150249,2071844838248729462,8513064553778618291,-4419334132910152518,-5984217083125106868
1,x,x,,,,,,,,,,,,,,,,,,,,,,
2,,,x,x,,,,,,,,,,,,,,,,,,,,
3,,,,,x,x,,,,,,,,,,,,,,,,,,
4,,,,,,,x,x,,,,,,,,,,,,,,,,
5,,,,,,,,,x,x,,,,,,,,,,,,,,
6,,,,,,,,,,,x,x,,,,,,,,,,,,
7,,,,,,,,,,,,,x,x,,,,,,,,,,
8,,,,,,,,,,,,,,,x,x,,,,,,,,
9,,,,,,,,,,,,,,,,,x,x,,,,,,
10,,,,,,,,,,,,,,,,,,,x,x,,,,
11,,,,,,,,,,,,,,,,,,,,,x,x,,
12,,,,,,,,,,,,,,,,,,,,,,,x,x
