
0
OAContexts
products,ARES
US,ARES
roles,ARES
features,ARES
mrs,ARES
changes,ARES
filenames,ARES
editTypes,ARES
clusters,ARES
OOContexts
products2UserStories,exist
userStories2Roles,exist
userStories2features,exist
features2AbstracFeatures,exist
userStories2mrs,exist
mrs2changes,exist
changes2filenames,exist
changes2diffs,exist

1
OAContexts
products,ARES
US,ARES
roles,ARES
features,ARES
mrs,ARES
changes,ARES
filenames,ARES
editTypes,ARES
clusters,ARES
OOContexts
products2UserStories,exist
userStories2Roles,exist
userStories2features,exist
features2AbstracFeatures,exist
userStories2mrs,exist
mrs2changes,exist
changes2filenames,exist
changes2diffs,exist

2
OAContexts
products,ARES
US,ARES
roles,ARES
features,ARES
mrs,ARES
changes,ARES
filenames,ARES
editTypes,ARES
clusters,ARES
OOContexts
products2UserStories,exist
userStories2Roles,exist
userStories2features,exist
features2AbstracFeatures,exist
userStories2mrs,exist
mrs2changes,exist
changes2filenames,exist
changes2diffs,exist

3
OAContexts
products,ARES
US,ARES
roles,ARES
features,ARES
mrs,ARES
changes,ARES
filenames,ARES
editTypes,ARES
clusters,ARES
OOContexts
products2UserStories,exist
userStories2Roles,exist
userStories2features,exist
features2AbstracFeatures,exist
userStories2mrs,exist
mrs2changes,exist
changes2filenames,exist
changes2diffs,exist
